Date,AAPL,AGG,AMD,BA,BAC,C,F,GE,GLD,IBM,KO,MSFT,PFE,SPY,TSLA
20180131,-0.010636,-0.01125,0.336576,0.201621,0.084011,0.054697,-0.099279,-0.073352,0.032349,0.067006,0.037271,0.110708,0.022639,0.056359,0.13798
20180228,0.06761,-0.010066,-0.118632,0.026949,0.003125,-0.034021,-0.032817,-0.119975,-0.02076,-0.038913,-0.091826,-0.008631,-0.010529,-0.03636,-0.031752
20180329,-0.058051,0.006697,-0.170107,-0.094779,-0.061994,-0.105842,0.044298,-0.044649,0.00632,-0.015401,0.013882,-0.026661,-0.022583,-0.027253,-0.224246
20180430,-0.01502,-0.009386,0.082587,0.017323,-0.002334,0.011407,0.027978,0.043769,-0.00954,-0.055204,-0.005066,0.024652,0.031558,0.005168,0.104347
20180531,0.135181,0.006604,0.261948,0.060889,-0.025401,-0.018456,0.02758,0.000711,-0.011959,-0.014349,-0.00486,0.061377,-0.009287,0.024309,-0.031201
20180629,-0.009418,0.001026,0.09177,-0.04728,-0.02927,0.003449,-0.041558,-0.024858,-0.036149,-0.011393,0.02907,-0.002327,0.009741,0.005852,0.204474
20180731,0.027983,-0.00029,0.222815,0.061965,0.095424,0.074268,-0.079494,0.00147,-0.022419,0.037437,0.063156,0.075753,0.100606,0.037047,-0.13066
20180831,0.200063,0.005669,0.373159,-0.033118,0.001619,-0.002782,-0.055777,-0.050624,-0.021381,0.021528,-0.044178,0.062877,0.048335,0.03192,0.011806
20180928,-0.008303,-0.00618,0.227255,0.084921,-0.042677,0.007019,-0.024262,-0.118238,-0.006607,0.032291,0.045098,0.018161,0.061416,0.005968,-0.12229
20181031,-0.030478,-0.006429,-0.410489,-0.045819,-0.066531,-0.087538,0.048649,-0.105403,0.021195,-0.236625,0.036588,-0.066101,-0.022918,-0.069104,0.274011
20181130,-0.180709,0.005224,0.169687,-0.018007,0.032727,-0.003361,-0.01466,-0.257426,0.003387,0.090184,0.060777,0.042505,0.081514,0.018549,0.039013
20181231,-0.116698,0.019746,-0.133333,-0.069962,-0.127113,-0.196481,-0.187035,0.010667,0.04942,-0.085298,-0.060516,-0.084047,-0.055808,-0.088136,-0.050445
20190131,0.055154,0.009109,0.322319,0.195721,0.155438,0.238187,0.169935,0.34214,0.028866,0.182546,0.016473,0.028158,-0.019244,0.080066,-0.077464
20190228,0.044701,-0.001132,-0.036051,0.146245,0.026695,-0.000465,-0.003409,0.061736,-0.006092,0.03928,-0.057968,0.077181,0.021201,0.032416,0.041887
20190329,0.097026,0.021172,0.084573,-0.133058,-0.051238,-0.027509,0.00114,-0.037536,-0.015969,0.021501,0.042347,0.052754,-0.0203,0.018061,-0.125109
20190430,0.056436,-0.001999,0.08268,-0.009779,0.108373,0.136291,0.207289,0.018018,-0.006639,-0.005882,0.046948,0.107343,-0.043796,0.040852,-0.147109
20190531,-0.123735,0.019065,-0.007962,-0.090087,-0.13015,-0.114569,-0.088995,-0.07178,0.017574,-0.083125,0.001427,-0.049464,0.031273,-0.063771,-0.224266
20190628,0.130519,0.010961,0.10799,0.065572,0.095865,0.12679,0.07458,0.113348,0.080029,0.085912,0.044576,0.083118,0.043353,0.06961,0.206848
20190731,0.076394,0.001814,0.002634,-0.062718,0.057931,0.016136,-0.053763,-0.004762,0.000075,0.074982,0.033582,0.017244,-0.103416,0.015119,0.081223
20190830,-0.01657,0.027767,0.032841,0.073173,-0.103325,-0.088533,-0.037775,-0.210526,0.079123,-0.074811,0.045791,0.015044,-0.075438,-0.016743,-0.066222
20190930,0.072962,-0.006104,-0.078219,0.044989,0.066885,0.073504,-0.001091,0.084848,-0.033948,0.072973,-0.003634,0.008487,0.010689,0.019503,0.067639
20191031,0.110684,0.002079,0.170404,-0.106605,0.071992,0.040243,-0.045851,0.116331,0.025635,-0.080388,-0.000184,0.031216,0.06791,0.022105,0.307427
20191129,0.077424,-0.000341,0.153846,0.083331,0.065558,0.052463,0.054715,0.129259,-0.032086,0.017498,-0.011574,0.059427,0.013292,0.036198,0.047695
20191231,0.098784,-0.000477,0.171392,-0.110383,0.062425,0.063498,0.02649,-0.008873,0.036559,-0.003049,0.036517,0.041749,0.017134,0.029016,0.267897
